item_id,title,author,year,editions,subjects,image_url
book-/works/OL15469822W,Rime,Francesco Petrarca,1475,230,Autographs|Bibliography|Books And Reading|Concordances|Criticism And Interpretation|English Sonnets|English Poetry|Facsimiles|History|Illumination (Of Mss. And Books),https://covers.openlibrary.org/b/id/7130072-L.jpg
book-/works/OL93140W,Il purgatorio,Dante Alighieri,1768,216,Purgatory In Literature|Purgatory|Poetry|Purgatorio (Dante Alighieri)|Poetry (Poetic Works By One Author)|Classic Literature|Fiction|Italian Poetry|Translations Into English|Romance Literature,https://covers.openlibrary.org/b/id/120731-L.jpg
book-/works/OL259028W,"Works [37 plays, 6 poems, sonnets]",William Shakespeare,1730,213,English Literature|English Drama|English Poetry|Theatre|Poetry|Performing Arts|Courtship|Drama|Youth|Vendetta,https://covers.openlibrary.org/b/id/8779054-L.jpg
book-/works/OL271361W,The Professor,Charlotte Brontë,1856,210,Teachers|Fiction|Social Life And Customs|Triangles (Interpersonal Relations)|British|Women Teachers|Long Now Manual For Civilization|Torso|Anatomy & Histology|Head,https://covers.openlibrary.org/b/id/9202418-L.jpg
book-/works/OL76455W,The ballad of the white horse,Gilbert Keith Chesterton,1911,206,Poetry|History|Kings And Rulers|Church History|Military History|Anglo-Saxons|Fiction|Poetry (Poetic Works By One Author)|English Ballads,https://covers.openlibrary.org/b/id/698488-L.jpg
book-/works/OL1455259W,Poems by John Keats,John Keats,1800,200,English Poetry|Correspondence|English Poets|Manuscripts|Criticism And Interpretation|Facsimiles|Biography|Poetry|Poetry (Poetic Works By One Author)|Description And Travel,https://covers.openlibrary.org/b/id/5635209-L.jpg
book-/works/OL97725W,Ars Amatoria,Ovid,1494,199,Love-Letters|Poetry|Latin Erotic Poetry|Latin Didactic Poetry|Seduction|Translations Into English|Translations Into French|Translations Into Spanish|Translations Into Italian|Incantations,https://covers.openlibrary.org/b/id/12733518-L.jpg
book-/works/OL15237410W,Virgils Eclogues translated into English: by W.L. Gent,Publius Vergilius Maro,1556,196,Translations Into English|Latin Pastoral Poetry|Poetry|Country Life|English Translations|English Pastoral Literature|Latin Didactic Poetry|History And Criticism|Translations From Latin|Artists' Books,https://covers.openlibrary.org/b/id/332444-L.jpg
book-/works/OL634478W,The complete works of Robert Browning Volume XVI,Robert Browning,1800,185,Criticism And Interpretation|Humanism|Poetry|English Poetry|English Poets|Critique Et Interprétation|Lyrik|Aufsatzsammlung|Correspondence|Works By Individual Poets: 19Th Century,https://covers.openlibrary.org/b/id/8236406-L.jpg
book-/works/OL495934W,The Song of Hiawatha and Other Poems,Henry Wadsworth Longfellow,1800,185,Poetry|American Poetry|American Poets|United States|English Poetry|Poetry (Poetic Works By One Author),https://covers.openlibrary.org/b/id/9043037-L.jpg
