item_id,name,artist,year,popularity,genres,image_url
music-album-4jI9SU1GmpIVhHMuYZuvX7,The Fall-Off,J. Cole,2026,44,Hip Hop,https://i.scdn.co/image/ab67616d0000b27380788f104c780412212e97e3
music-album-7vI4iTxDmgEN63liQHPEX1,The Romantic,Bruno Mars,2026,46,Pop|Funk|R&B|Contemporary R&B|Hip Hop,https://i.scdn.co/image/ab67616d0000b2733eb8dc748f7efb1470f74395
music-album-0cMIntDigHjfYqnvgJjd3Q,Love Is Like,Maroon 5,2025,48,Pop|Pop Rock|Rock|Alternative Rock|Dance-Pop,https://i.scdn.co/image/ab67616d0000b273ce86d53b3ee10aaf89c9d9c0
music-album-5r36AJ6VOJtp00oxSkBZ5h,Harry's House,Harry Styles,2022,52,Pop|Funk|New Wave|Rock|Soft Rock,https://i.scdn.co/image/ab67616d0000b27382ce362511fb3d9dda6578ee
music-album-3edu0vIRVJ6vcK3yagi6oS,All 4 Nothing,LAUV,2022,50,Alternative Pop|Electropop|Indie Pop|Pop|R&B,https://i.scdn.co/image/ab67616d0000b27337a04015658168ca6e6e604a
music-album-4gCNyS7pidfK3rKWhB3JOY,FOUR (Deluxe),One Direction,2014,32,Pop|Dance-Pop|Pop Rock|Teen Pop|Folk Pop,https://i.scdn.co/image/ab67616d0000b27334a29f220057810cce98e1b4
music-album-0luMDIjG1HiinBas3na7vc,blog era boyz,mgk,2026,18,Hip Hop|Pop Punk|Pop Rap|Rap Rock,https://i.scdn.co/image/ab67616d0000b2735aa5e59454d045f3c841f56e
music-album-6BzxX6zkDsYKFJ04ziU5xQ,COWBOY CARTER,Beyoncé,2024,50,R&B,https://i.scdn.co/image/ab67616d0000b273208e593c3565dae1295b5a26
music-album-3IKW2jLFBTUGEIwJha62vD,Do That Again,Malcolm Todd,2026,50,R&B,https://i.scdn.co/image/ab67616d0000b273a1cac678024bb37d83ab012c
music-album-0beloHUnrqAmH58rSMxDoa,BEAUTIFUL DAY,Akon,2026,50,R&B,https://i.scdn.co/image/ab67616d0000b273d5b624eacb9bad2c370bf2dc
music-album-1D06fz3cuob62ysTS8k6gu,GUTS (spilled),Olivia Rodrigo,2024,50,Pop,https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee
music-album-0feQYIqb820lL4mrfNGFgd,Heartbreak City,Mall City,2021,50,Hip Hop,https://i.scdn.co/image/ab67616d0000b273d86a29dd579d5539d292b4fc
music-album-4X34Hcq2vtMhCLL4qgLcua,23 & Gettin' It,Yung J,2019,50,Hip Hop,https://i.scdn.co/image/ab67616d0000b273f18731bd7b4731e58b34f9f8
music-album-5apkkoLPJJYZcghFfuNTF3,BEFORE I FORGET,The Kid LAROI,2026,100,Hip Hop|Emo Rap|Pop Rap,https://i.scdn.co/image/ab67616d0000b2734ee3d2ae694b3b78125a5443
music-album-01l3jTY261V3CESZR4dABz,Man of the Woods,Justin Timberlake,2018,50,Dance-Pop,https://i.scdn.co/image/ab67616d0000b273d444296aa0ca8fada177e430
music-album-5ho4S2bnJJdF0uwT8YiQsw,Scarlet 2 CLAUDE,Doja Cat,2024,50,Dance-Pop,https://i.scdn.co/image/ab67616d0000b273425c31a1dfbe3f62daf1413b
music-album-12Lig9oAX9nvpWHft5cHgF,Fancy Some More?,PinkPantheress,2025,54,Uk Garage|Drum And Bass|Alternative Pop|Future Garage|Jungle,https://i.scdn.co/image/ab67616d0000b273684ecc5bc1b724d0106ad694
music-album-5MsuDSyzQYhuL1U3mzgFKw,Sincere (Deluxe),Khalid,2024,50,R&B,https://i.scdn.co/image/ab67616d0000b273ee497f978d61a8f66b9717a2
music-album-6KaEpgeZQF6ZVVAmSoZUrb,So Close To What,Tate McRae,2025,62,Pop|Dance-Pop|Contemporary R&B|Pop Rock,https://i.scdn.co/image/ab67616d0000b27381c06ae612adc448a9636365
music-album-2pHm3ZP2R3phzCYi7ilGN2,Comfort In Chaos,John Summit,2024,36,Dance|Edm|House|Progressive House,https://i.scdn.co/image/ab67616d0000b273ac2be70b09319ac92b074fde
music-album-1Q5WON8dw2JFLP5JVQXu1e,SOS Deluxe: LANA,SZA,2025,50,R&B,https://i.scdn.co/image/ab67616d0000b2735623d454ad0ffa8d0ebfd4ad
music-album-35dut3ICqF3NEDkjxfzJJ1,Starboy (Deluxe),The Weeknd,2023,72,R&B|Alternative R&B|Contemporary R&B|Dance-Pop|Synth-Pop,https://i.scdn.co/image/ab67616d0000b2738ad8f5243d6534e03b656c8b
music-album-7mvXPtV4jvA1hp5Wx2FAJA,I Barely Know Her,sombr,2025,14,Indie Pop|Pop Rock,https://i.scdn.co/image/ab67616d0000b2734229702de91cb3d3a4383302
music-album-3gXBpWIVRKhmc9ElGkBRZg,No $ucka Shit 2.0,Yung J,2019,50,Hip Hop,https://i.scdn.co/image/ab67616d0000b27342ea4620dc5f2494b1643981
music-album-4kADGUOhhfRSKoGdEH28ob,LOL : SLUTTY BASS,Tory Lanez,2026,56,Hip Hop|R&B|Alternative Hip Hop|Contemporary R&B|Dancehall,https://i.scdn.co/image/ab67616d0000b2733b092e418c01fbc0e87a2a3f
